Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 124m²  ","Rua Tuiuti, 658 - Tatuapé, São Paulo - SP", 124 ,   R$ 1.160.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 69m²  ","Rua Vilela, 267 - Tatuapé, São Paulo - SP", 69 ,   R$ 575.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Carolina Fonseca, 315 - Vila Santana, São Paulo - SP", 55 ,   R$ 220.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 94m²  ","Rua Doutor Augusto de Miranda, 1107 - Vila Pompéia, São Paulo - SP", 94 ,   R$ 960.000   ,  3     ,3,  2     
"  Apartamento com 4 Quartos à Venda, 129m²  ","Rua Correggio, 77 - Vila Suzana, São Paulo - SP", 129 ,   R$ 540.000   ,  4     ,5,  3     
"  Apartamento com 3 Quartos à Venda, 71m²  ","Rua Pereira Caldas, 90 - Jardim da Glória, São Paulo - SP", 71 ,   R$ 799.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Atílio Piffer, 120 - Casa Verde, São Paulo - SP", 64 ,   R$ 520.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Carolina Fonseca, 315 - Vila Santana, São Paulo - SP", 50 ,   R$ 225.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua José Coimbra - Vila Andrade, São Paulo - SP", 65 ,   R$ 390.000   ,  2     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua Texas, 963 - Brooklin Paulista, São Paulo - SP", 120 ,   R$ 940.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 52m²  ","Rua Alves Guimarães, 1354 - Pinheiros, São Paulo - SP", 52 ,   R$ 750.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 190m²  ","Rua Aimberê, 258 - Perdizes, São Paulo - SP", 190 ,   R$ 3.000.000   ,  3     ,5,  4     
"  Apartamento com 3 Quartos à Venda, 156m²  ","Rua Conselheiro Moreira de Barros, 844 - Santana, São Paulo - SP", 156 ,   R$ 825.000   ,  3     ,4,  3     
"  Apartamento com 2 Quartos à Venda, 66m²  ","Rua Caravelas, 140 - Vila Mariana, São Paulo - SP", 66 ,   R$ 1.130.000   ,  2     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 97m²  ","Rua Nanuque - Vila Leopoldina, São Paulo - SP", 97 ,   R$ 1.030.000   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 85m²  ","Rua Newton Prado - Bom Retiro, São Paulo - SP", 85 ,   R$ 250.000   ,  3     ,1,  --     
"  Apartamento com 3 Quartos à Venda, 176m²  ","Alameda Itu, 254 - Jardim Paulista, São Paulo - SP", 176 ,   R$ 1.450.000   ,  3     ,4,  1     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Avenida Washington Luís, 1260 - Santo Amaro, São Paulo - SP", 80 ,   R$ 569.900   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 67m²  ","Rua José Gonçalves - Vila Andrade, São Paulo - SP", 67 ,   R$ 480.000   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 70m²  ","Rua Itapimirum, 624 - Vila Andrade, São Paulo - SP", 70 ,   R$ 450.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 53m²  ","Rua Ibitirama - Vila Prudente, São Paulo - SP", 53 ,   R$ 290.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 56m²  ","Rua Carlos Magalhães, 100 - Parque Reboucas, São Paulo - SP", 56 ,   R$ 295.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 59m²  ","Avenida Carlos Liviero, 611 - Vila Liviero, São Paulo - SP", 59 ,   R$ 280.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 48m²  ","Rua Padre Jerônimo Vermin, 224 - Jardim Maria Estela, São Paulo - SP", 48 ,   R$ 190.000   ,  2     ,1,  1     
"  Apartamento com 4 Quartos à Venda, 145m²  ","Rua Doutor José Gustavo Bush, 10 - Paraíso do Morumbi, São Paulo - SP", 145 ,   R$ 800.000   ,  4     ,5,  3     
"  Apartamento com 3 Quartos à Venda, 65m²  ","Rua Alfredo Jorel, 195 - Jardim Celeste, São Paulo - SP", 65 ,   R$ 355.000   ,  3     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Ibitirama, 2300 - Vila Prudente, São Paulo - SP", 55 ,   R$ 339.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 70m²  ","Avenida Thomas Edison, 934 - Barra Funda, São Paulo - SP", 70 ,   R$ 790.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 103m²  ","Rua Tupi, 665 - Santa Cecília, São Paulo - SP", 103 ,   R$ 900.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 157m²  ","Rua Marc Chagall, 339 - Água Branca, São Paulo - SP", 157 ,   R$ 2.300.000   ,  3     ,4,  --     
